datetime,open,high,low,close,volume
2022-05-25 16:36:00,1976.67,1985.75,1944.18,1944.21,105175.414
2022-05-25 23:52:00,1944.21,1982.84,1941.09,1941.56,151236.4057
2022-05-26 05:49:00,1941.55,1966.01,1924.48,1924.49,97174.9383
2022-05-26 08:21:00,1924.48,1929.0,1848.44,1866.58,101790.5677
2022-05-26 08:34:00,1866.57,1876.59,1821.0,1826.58,48275.8773
2022-05-26 11:10:00,1826.58,1850.17,1802.0,1810.07,147821.3617
2022-05-26 13:09:00,1810.07,1831.51,1788.39,1788.69,130915.43781999999
2022-05-26 13:15:00,1788.69,1795.87,1750.0,1750.0,28586.956940000004
2022-05-26 13:34:00,1750.0,1792.83,1735.0,1787.71,72403.50748
2022-05-26 13:49:00,1787.71,1821.03,1780.0,1817.91,40041.446599999996
2022-05-26 14:22:00,1817.92,1849.19,1806.23,1848.16,75926.0304
2022-05-26 16:03:00,1848.16,1879.79,1839.8,1879.02,114439.0647
2022-05-26 18:07:00,1879.02,1907.58,1863.99,1864.9,100781.8961
2022-05-26 19:36:00,1864.9,1872.14,1832.73,1832.74,56764.6969
2022-05-26 23:15:00,1832.74,1850.01,1807.25,1808.73,119097.3782
2022-05-27 00:43:00,1808.72,1821.57,1783.4,1784.07,74388.8612
2022-05-27 01:58:00,1784.08,1785.97,1738.0,1742.42,121766.5913
2022-05-27 03:29:00,1742.42,1771.85,1728.99,1771.84,113591.37438000001
2022-05-27 04:57:00,1771.85,1779.91,1741.77,1741.78,61301.5922
2022-05-27 05:43:00,1741.78,1759.24,1717.0,1719.09,49791.21892
2022-05-27 06:33:00,1719.08,1754.25,1712.67,1753.8,61342.09321
2022-05-27 07:26:00,1753.8,1791.32,1753.09,1789.77,62660.523
2022-05-27 08:03:00,1789.77,1799.13,1753.78,1756.24,35353.4113
2022-05-27 12:22:00,1756.24,1796.0,1750.19,1794.09,190900.7975
2022-05-27 14:35:00,1794.09,1822.26,1780.01,1782.28,143239.5987
2022-05-27 16:07:00,1782.28,1791.43,1752.55,1755.0,83512.9426
2022-05-27 17:18:00,1754.99,1774.56,1730.98,1734.08,54791.898199999996
2022-05-27 19:51:00,1734.08,1759.92,1715.0,1755.43,137328.0358
2022-05-27 21:57:00,1755.43,1772.5,1731.35,1731.36,71228.9594
2022-05-27 23:25:00,1731.36,1755.0,1718.98,1719.18,37888.015699999996
2022-05-28 00:57:00,1719.19,1749.33,1703.0,1748.35,67750.65476
2022-05-28 03:46:00,1748.35,1759.54,1722.31,1758.3,90243.9231
2022-05-28 12:50:00,1758.3,1789.0,1748.94,1788.56,185795.4404
2022-05-28 17:01:00,1788.57,1808.98,1770.28,1770.61,127206.8753
2022-05-28 23:40:00,1770.61,1803.44,1760.0,1800.97,114282.80219999999
2022-05-29 02:23:00,1800.98,1805.44,1759.96,1764.54,74783.98819999999
2022-05-29 11:46:00,1764.53,1801.27,1764.0,1800.39,134324.3041
2022-05-29 19:17:00,1800.4,1827.4,1786.21,1787.32,141490.9052
2022-05-29 22:37:00,1787.33,1821.91,1785.29,1821.67,62693.7438
2022-05-30 01:44:00,1821.67,1842.25,1803.18,1840.49,77489.9172
2022-05-30 02:16:00,1840.48,1878.07,1834.65,1876.91,52997.2538
